nome_produto,url,categoria,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
Vitao Beijinho de Colher,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/beijinho-de-colher/1-por%C3%A7%C3%A3o,Produto Vitao,20,76,10.0,2.1,3.2,1.1,0.1,0.9,33
Vitao Doce de Leite Zero Adição de Açúcares,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/doce-de-leite-zero-adi%C3%A7%C3%A3o-de-a%C3%A7%C3%BAcares/1-colher-de-sopa,Produto Vitao,20,60,8.0,2.0,2.2,1.4,0.0,1.0,35
Vitao Cookies Zero Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-zero-tradicional/1-pacotinho,Produto Vitao,20,90,11.0,1.5,3.2,0.8,1.3,0.2,33
Vitao Chocolate Soulpro Branco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-soulpro-branco/1-por%C3%A7%C3%A3o,Produto Vitao,40,240,15.0,8.4,13.0,7.7,0.0,2.4,38
Vitao Cocada com Ameixa,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cocada-com-ameixa/1-colher,Produto Vitao,20,56,7.0,1.6,2.4,0.9,0.0,0.0,13
Vitao Proteína de Soja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/prote%C3%ADna-de-soja/1-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,50,185,15.0,26.0,0.6,0.1,8.0,0.0,10
Vitao Granola Tradicional Light,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-tradicional-light/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,40,149,25.0,6.0,2.7,0.6,3.9,1.3,9
Vitao Biscoitos Integrais com Aveia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/biscoitos-integrais-com-aveia/4-unidades,Produto Vitao,30,136,21.0,2.6,4.7,0.9,2.2,0.0,74
Vitao Farinha de Aveia Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-aveia-integral/1-2-x%C3%ADcara,Produto Vitao,50,178,29.0,7.2,3.5,0.7,4.0,0.0,3
Vitao Mix de Sementes e Grãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/mix-de-sementes-e-gr%C3%A3os/1-colher-de-sopa,Produto Vitao,15,72,2.0,3.0,5.9,0.7,3.1,0.0,2
Vitao Cookies Integrais Castanha de Caju,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-castanha-de-caju/4-unidades,Produto Vitao,30,131,20.0,2.3,4.6,0.8,1.3,0.0,69
Vitao Diet Cookies Integrais Banana,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/diet-cookies-integrais-banana/5-unidades,Produto Vitao,30,111,19.0,2.3,3.4,0.7,3.4,0.0,94
Vitao Granola Cacau e Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-cacau-e-coco/1-2-x%C3%ADcara,Produto Vitao,40,156,26.0,4.2,3.2,1.2,3.2,5.2,15
Vitao Bolo de Caneca,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/bolo-de-caneca/1-por%C3%A7%C3%A3o,Produto Vitao,55,208,40.0,5.0,3.0,0.0,1.0,0.0,150
Vitao Granola Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-tradicional/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,40,149,26.0,4.5,3.0,0.7,4.7,0.0,63
Vitao Drageados Cranberry com Chocolate Meio Amargo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/drageados-cranberry-com-chocolate-meio-amargo/1,Produto Vitao,30,117,17.0,1.1,6.0,3.5,3.4,8.3,0
Vitao Rolinho Wafer,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/rolinho-wafer/1-pacote,Produto Vitao,25,94,20.0,1.8,0.8,0.3,0.5,0.3,207
Vitao Semente de Girassol,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/semente-de-girassol/1-colher-de-sopa,Produto Vitao,15,90,1.0,3.9,7.8,0.9,1.2,0.0,91
Vitao Chocolate Ao Leite Diet,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-ao-leite-diet/1-unidade,Produto Vitao,22,123,10.0,2.0,8.1,4.7,0.5,0.0,24
Vitao Geleia de Morango Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/geleia-de-morango-zero-a%C3%A7%C3%BAcar/1-colher-de-sopa,Produto Vitao,20,12,3.7,1.2,0.0,0.0,0.6,1.3,0
Vitao Cookies Original com Gotas Sabor Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-original-com-gotas-sabor-chocolate/1-por%C3%A7%C3%A3o,Produto Vitao,20,93,13.0,0.6,3.2,1.0,1.3,11.0,53
Vitao Chocolate Branco Morango & Cranberry,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-branco-morango-cranberry/4-quadrados,Produto Vitao,25,135,14.0,1.8,7.8,4.6,0.0,1.2,28
Vitao Chocolate Ao Leite 40% Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-ao-leite-40-cacau/1-por%C3%A7%C3%A3o,Produto Vitao,25,134,11.0,2.9,8.9,5.2,1.7,0.0,27
Vitao Creme de Avelã,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/creme-de-avel%C3%A3/1-por%C3%A7%C3%A3o,Produto Vitao,20,133,11.0,0.9,7.1,2.4,0.9,0.0,0
Vitao Bolinho sem Glúten de Baunilha com Recheio de Morango,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/bolinho-sem-gl%C3%BAten-de-baunilha-com-recheio-de-morango/1-unidade,Produto Vitao,35,111,15.0,1.1,5.3,1.1,1.5,0.1,45
Vitao Pipoca de Arroz Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/pipoca-de-arroz-integral/1-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,25,95,11.0,0.9,0.0,0.0,0.0,0.0,0
Vitao eroSemente de Abóbora com Cacau e Açúcar Mascavo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/erosemente-de-ab%C3%B3bora-com-cacau-e-a%C3%A7%C3%BAcar-mascavo/100g,Produto Vitao,100,80,6.3,2.6,4.9,0.7,0.1,0.0,15
Vitao Diet Cookies Integrais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/diet-cookies-integrais/5-cookies,Produto Vitao,30,118,17.0,2.5,5.0,1.3,3.4,0.0,90
Vitao Cookies Integrais Proteínas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-prote%C3%ADnas/7-unidades,Produto Vitao,30,146,11.0,6.3,8.3,4.6,1.9,0.0,72
Vitao Geleia de Goiaba Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/geleia-de-goiaba-zero-a%C3%A7%C3%BAcar/1-colher-de-sopa,Produto Vitao,20,14,3.5,0.0,0.0,0.0,1.0,0.0,7
Vitao Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate/100g,Produto Vitao,100,651,48.0,4.8,38.0,22.0,13.0,0.4,0
Vitao Biscoito Sabor Leite com Cobertura de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/biscoito-sabor-leite-com-cobertura-de-chocolate/4-unidades,Produto Vitao,30,120,14.0,2.7,6.0,3.3,1.3,0.0,41
Vitao Bolo de Caneca Fubá,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/bolo-de-caneca-fub%C3%A1/1-por%C3%A7%C3%A3o,Produto Vitao,55,212,42.0,5.0,3.0,1.0,0.9,0.1,151
Vitao Wafer de Morango,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/wafer-de-morango/1-por%C3%A7%C3%A3o,Produto Vitao,30,140,20.0,1.2,6.1,2.1,2.5,0.3,26
Vitao Snacks Integrais Queijo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/snacks-integrais-queijo/1-pacote,Produto Vitao,40,170,25.0,2.3,6.4,1.0,1.1,0.2,145
Vitao Farinha de Arroz,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-arroz/1-colher-de-sopa,Produto Vitao,20,70,16.0,1.0,0.0,0.0,0.0,0.0,0
Vitao Doce de Leite com Ameixa Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/doce-de-leite-com-ameixa-zero-a%C3%A7%C3%BAcar/1-colher-de-sopa,Produto Vitao,20,13,2.0,0.4,0.4,0.2,0.0,0.7,14
Vitao Drageados Amêndoa Coberta com Chocolate Meio Amargo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/drageados-am%C3%AAndoa-coberta-com-chocolate-meio-amargo/1-quantidade,Produto Vitao,30,146,9.0,3.5,12.0,3.9,4.3,0.0,0
Vitao Cookies Integrais Light Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-light-castanha-do-par%C3%A1/5-unidades,Produto Vitao,30,124,20.0,2.0,5.1,1.0,3.2,0.0,68
Vitao Semente de Linhaça Dourada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/semente-de-linha%C3%A7a-dourada/1-colher-de-sopa,Produto Vitao,15,72,1.5,2.6,6.2,0.6,3.6,0.0,0
Vitao Snacks Sabor Peito de Peru,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/snacks-sabor-peito-de-peru/1-por%C3%A7%C3%A3o,Produto Vitao,25,75,16.0,1.4,0.6,0.2,1.1,0.0,9
Vitao Bolo de Caneca Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/bolo-de-caneca-chocolate/1-unidade,Produto Vitao,55,208,40.0,5.0,3.0,1.1,1.0,0.1,149
Vitao Soulpro Meio Amargo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/soulpro-meio-amargo/100g,Produto Vitao,100,607,38.0,21.0,33.0,19.0,5.2,0.0,39
Vitao Snacks Integrais Queijo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/snacks-integrais-queijo/2-x%C3%ADcaras,Produto Vitao,25,115,16.0,1.4,5.2,2.0,1.1,0.0,9
Vitao Cookies Integrais Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-coco/1-por%C3%A7%C3%A3o,Produto Vitao,30,137,21.0,2.0,5.0,1.7,1.5,0.0,68
Vitao Arroz Cateto Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/arroz-cateto-integral/1-por%C3%A7%C3%A3o,Produto Vitao,50,166,39.0,3.3,1.7,0.0,3.4,0.0,0
Vitao Granola Frutas Vermelhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-frutas-vermelhas/100g,Produto Vitao,100,368,59.0,12.0,7.0,1.4,7.9,13.0,26
Vitao Cobertura em Barra Sabor Chocolate Ao Leite - Zero Adição de Açúcares,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cobertura-em-barra-sabor-chocolate-ao-leite-zero-adi%C3%A7%C3%A3o-de-a%C3%A7%C3%BAcares/1-por%C3%A7%C3%A3o-de-25g,Produto Vitao,25,111,14.0,2.3,6.6,2.8,1.0,4.2,36
Vitao Granola Tradicional com Castanhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-tradicional-com-castanhas/100g,Produto Vitao,100,410,57.0,11.0,11.0,2.5,7.8,1.0,6
Vitao Aveia em Flocos Grossos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/aveia-em-flocos-grossos/2-colheres-de-sopa,Produto Vitao,30,105,18.0,4.0,2.4,0.4,3.2,0.0,0
Vitao Mix para Pão sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/mix-para-p%C3%A3o-sem-gl%C3%BAten/1-fatia,Produto Vitao,50,104,19.0,1.8,2.5,0.5,1.0,0.0,128
Vitao Chocolate Branco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-branco/1-unidade,Produto Vitao,22,120,15.0,0.1,6.8,4.6,0.0,0.0,27
Vitao Granola Keto,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-keto/1-por%C3%A7%C3%A3o,Produto Vitao,40,224,12.0,7.1,16.6,2.6,2.5,0.5,136
Vitao Cookies Integrais com Nozes,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-com-nozes/3-1-2-unidades,Produto Vitao,30,125,19.0,2.1,4.3,0.7,1.2,0.0,69
Vitao Brigadeiro Zero Adição de Açúcares,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/brigadeiro-zero-adi%C3%A7%C3%A3o-de-a%C3%A7%C3%BAcares/1-colher-de-sopa,Produto Vitao,20,54,8.0,1.6,1.6,0.9,0.0,0.0,53
Vitao Chocolate Meio Amargo com Amaranto e Quinoa,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-meio-amargo-com-amaranto-e-quinoa/1-barra,Produto Vitao,30,127,13.0,1.6,9.2,5.6,4.2,0.0,0
Vitao Chocolate Branco com Cereais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-branco-com-cereais/1-unidade,Produto Vitao,30,142,18.0,2.1,8.8,5.4,0.0,3.2,39
Vitao Granola Premium Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-premium-zero/1-2-chicara,Produto Vitao,40,160,25.0,4.4,4.6,1.2,3.8,0.0,57
Vitao Bananada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/bananada/1-por%C3%A7%C3%A3o,Produto Vitao,20,16,3.0,0.0,0.0,0.0,0.0,0.0,22
Vitao Cookies sem Glúten Cacau com Gotas de Cobertura Sabor Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-sem-gl%C3%BAten-cacau-com-gotas-de-cobertura-sabor-chocolate/7-unidades,Produto Vitao,30,129,19.0,1.4,4.9,1.3,2.1,0.0,86
Vitao Granola Grãos e Sementes,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-gr%C3%A3os-e-sementes/1-2-x%C3%ADcara,Produto Vitao,40,156,25.0,4.3,4.0,0.8,2.5,5.4,13
Vitao Farinha de Linhaça Dourada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-linha%C3%A7a-dourada/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,15,71,0.2,2.8,6.5,0.6,4.6,0.2,6
