nome_produto,url,categoria,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
Vitao Farinha de Linhaça,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-linha%C3%A7a/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,50,135,1.3,14.0,8.2,1.0,0.0,0.0,43
Vitao Farinha de Soja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-soja/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,50,149,8.5,26.0,1.0,0.0,8.0,0.0,0
Vitao Granola Integral Tradicional com Castanhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-integral-tradicional-com-castanhas/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,40,164,23.0,4.5,4.3,1.0,3.1,0.0,28
Vitao Doce de Leite Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/doce-de-leite-zero/1-por%C3%A7%C3%A3o,Produto Vitao,20,61,8.0,2.2,2.2,1.3,0.1,0.0,52
Vitao Cocada Ao Leite,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cocada-ao-leite/1-colher,Produto Vitao,20,57,7.0,1.7,2.5,0.9,0.0,1.6,27
Vitao Biscoitos Integrais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/biscoitos-integrais/3-biscoitos,Produto Vitao,30,135,21.0,2.8,4.4,0.6,2.0,0.0,77
Vitao Cookies Integral Morango com Cobertura de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integral-morango-com-cobertura-de-chocolate/1-por%C3%A7%C3%A3o,Produto Vitao,30,120,17.0,2.1,4.9,2.6,1.5,1.2,79
Vitao Germen e Fibra de Trigo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/germen-e-fibra-de-trigo/1-colher-de-sopa,Produto Vitao,10,28,3.3,2.1,0.7,0.0,2.5,0.0,0
Vitao Snacks Integrais Tomate e Orégano,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/snacks-integrais-tomate-e-or%C3%A9gano/2-x%C3%ADcaras-de-ch%C3%A1,Produto Vitao,25,104,14.0,2.1,4.4,1.5,2.8,0.0,168
Vitao Cocada com Cobertura de Chocolate Branco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cocada-com-cobertura-de-chocolate-branco/1-cocada,Produto Vitao,22,125,13.0,0.2,8.0,3.3,0.2,2.1,8
Vitao Vitao Nuts Torrado e Salgado,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/vitao-nuts-torrado-e-salgado/1-por%C3%A7%C3%A3o,Produto Vitao,15,92,1.7,3.3,7.7,1.3,1.4,0.0,63
Vitao Farinha de Trigo Integral Fina,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-trigo-integral-fina/1-xicara-de-ch%C3%A1,Produto Vitao,50,170,36.0,6.6,1.2,0.2,5.4,0.0,1
Vitao Chocolate Dark 60% Cacau Mix de Nuts,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-dark-60-cacau-mix-de-nuts/4-quadrados,Produto Vitao,25,140,11.0,1.7,9.9,4.9,3.0,0.1,0
Vitao Beijinho Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/beijinho-zero-a%C3%A7%C3%BAcar/1-colher-de-sopa,Produto Vitao,20,66,12.0,1.7,2.9,2.0,0.0,2.6,32
Vitao Marcante 50% Cacau Zero Lactose,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/marcante-50-cacau-zero-lactose/1-por%C3%A7%C3%A3o,Produto Vitao,22,146,11.0,0.8,8.2,4.9,3.2,0.1,0
Vitao Cookies Baunilha com Gotas de Chocolate sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-baunilha-com-gotas-de-chocolate-sem-gl%C3%BAten/7-unidades,Produto Vitao,30,128,20.0,1.3,4.7,1.3,2.0,0.0,72
Vitao Spaguetti Massa Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/spaguetti-massa-integral/1-x%C3%ADcara-de-ch%C3%A1,Produto Vitao,80,284,55.0,12.0,2.0,0.7,7.5,0.0,0
Vitao Fibra de Soja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/fibra-de-soja/1-colher-de-sopa,Produto Vitao,10,18,4.5,3.9,0.0,0.0,4.5,0.0,4
Vitao Snacks Ervas Finas Vegano,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/snacks-ervas-finas-vegano/2-x%C3%ADcaras-de-ch%C3%A1,Produto Vitao,25,109,15.0,2.1,4.5,1.5,1.6,0.0,104
Vitao Maçã Desidratada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/ma%C3%A7%C3%A3-desidratada/1-saco,Produto Vitao,30,96,23.0,0.6,0.0,0.0,1.3,19.0,6
Vitao Cookies Integrais Frutas Vermelhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-frutas-vermelhas/4-unidades,Produto Vitao,30,136,22.0,1.9,4.7,0.8,1.8,0.0,66
Vitao Granola Zero Açúcar Maçã E Canela,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-zero-a%C3%A7%C3%BAcar-ma%C3%A7%C3%A3-e-canela/1-serving,Produto Vitao,40,151,26.0,3.9,3.7,0.7,2.4,0.0,3
Vitao Leite Condensado Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/leite-condensado-zero-a%C3%A7%C3%BAcar/1-colher-de-sopa,Produto Vitao,20,18,3.0,0.6,0.6,0.3,0.0,0.9,24
Vitao Biscoito Integral Gérmen e Mel,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/biscoito-integral-g%C3%A9rmen-e-mel/1-por%C3%A7%C3%A3o,Produto Vitao,30,127,19.0,2.8,4.3,0.7,1.5,0.0,79
Vitao Cookies Integrais Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-cacau/4-unidades,Produto Vitao,30,122,19.0,2.5,3.6,0.8,2.4,2.4,75
Vitao Vitao Nuts + Frutas Secas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/vitao-nuts-frutas-secas/1-colher-de-sopa,Produto Vitao,15,81,4.9,2.0,5.6,1.0,1.1,0.0,20
Vitao Farinha de Aveia sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-aveia-sem-gl%C3%BAten/100g,Produto Vitao,100,375,54.0,18.0,7.6,1.3,8.4,0.0,16
Vitao Cookies Sabor Chocolate com Gotas Sabor Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-sabor-chocolate-com-gotas-sabor-chocolate/1-por%C3%A7%C3%A3o,Produto Vitao,20,90,11.0,1.7,3.3,0.8,1.5,0.2,32
Vitao Farinha de Aveia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/farinha-de-aveia/1-2-x%C3%ADcara-d%C3%A9-ch%C3%A1,Produto Vitao,50,187,27.0,9.2,3.0,0.7,4.2,0.0,0
Vitao Cookies Integrais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais/2-unidades,Produto Vitao,20,90,11.0,1.5,3.2,0.8,1.3,0.2,33
Vitao Cookies Integrais sem Glúten Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-sem-gl%C3%BAten-castanha-do-par%C3%A1/8-unidades,Produto Vitao,30,134,20.0,1.1,5.1,1.0,2.1,0.0,64
Vitao Cookies Integrais Banana,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-banana/5-unidades,Produto Vitao,30,116,19.0,2.5,3.4,0.6,3.8,0.0,77
Vitao Viccio Dark,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/viccio-dark/1-por%C3%A7%C3%A3o,Produto Vitao,30,152,15.0,2.0,9.2,2.6,1.6,0.1,4
Vitao Cookies Integrais Light Baunilha com Gotas de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-light-baunilha-com-gotas-de-chocolate/5-unidades,Produto Vitao,30,121,22.0,1.8,4.5,1.4,2.9,1.2,67
Vitao Chocolate Proteico Ao Leite Soulpro Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-proteico-ao-leite-soulpro-zero/1-unidade,Produto Vitao,40,236,14.0,8.4,14.0,7.9,0.6,2.6,40
Vitao Leite Condensado Diet,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/leite-condensado-diet/1-colher-de-sopa,Produto Vitao,20,44,7.0,1.4,1.4,0.8,0.0,2.1,24
Vitao Arroz Agulha Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/arroz-agulha-integral/1-4-x%C3%ADcara,Produto Vitao,50,184,38.0,3.7,1.6,0.3,1.8,0.0,0
Vitao Biscoitos Integrais com Gergelim,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/biscoitos-integrais-com-gergelim/4-unidades,Produto Vitao,30,139,20.0,2.9,5.3,0.7,2.1,5.7,80
Vitao Granola Proteica Soulpro,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-proteica-soulpro/1-por%C3%A7%C3%A3o,Produto Vitao,40,157,22.0,8.4,3.4,0.5,3.4,6.3,27000
